id,first_name,last_name,name_display,expected_display,namenszusatz,name_particle,category
698dbc5a-f189-4145-92b3-28760adae450,Lorenzo,Medici,Lorenzo de Medici,Lorenzo Medici,de,,namenszusatz_ok_case_diff
2768ec44-2b1f-4508-80ce-b7cc46e4106f,Melissa De La,Cruz,Melissa De la Cruz,Melissa De La Cruz,,,particle_embedded_in_name_field
fe80439d-66e9-4de2-8d4f-b01f5e1d9041,Philippe Pozzo Die,Borgo,Philippe Pozzo die Borgo,Philippe Pozzo Die Borgo,,,particle_embedded_in_name_field
cf27d6d2-31ab-4bbf-a5ef-10d5292ac720,Nelson,Demille,Nelson DeMille,Nelson Demille,,,other
9537150b-0d3f-4f2d-b71f-7e44db5a9da7,Don,Delillo,Don DeLillo,Don Delillo,,,other
dc84f9da-640e-4a61-b36d-cfd1a6caaddd,Constanze,Elsner,Constanze,Constanze Elsner,,,other
e9328ed7-7e32-4b13-a16d-ad0521a8ec39,Pierre La,Mure,Pierre la Mure,Pierre La Mure,,,particle_embedded_in_name_field
c7b2c63d-953b-4887-91a1-525f2176d77c,Annette,Droste-Huelshoff,von Droste-Huelshoff,Annette Droste-Huelshoff,von,,namenszusatz_drops_firstname
da9f70c8-85bf-45fe-9522-8068966df9cb,Andrea-Uve Di,Fabriciaco,Andrea-Uve di Fabriciaco,Andrea-Uve Di Fabriciaco,,,particle_embedded_in_name_field
e20e7923-0f01-4c58-83a1-a57c18024a14,Joseph,Eichendorff,von Eichendorff,Joseph Eichendorff,von,,namenszusatz_drops_firstname
67812888-f441-497c-80a9-bd19f8f8a4bc,Alexander Von,Schönburg,Alexander von Schönburg,Alexander Von Schönburg,,,particle_embedded_in_name_field
eaf8ac72-99ee-4101-bbc3-80045085ace6,Mitch,Alborch,Mitch Albom,Mitch Alborch,,,other
e6de00b4-8519-4b80-bc55-d752fa962c7a,David,Guterson,Guterson,David Guterson,,,other
8d30afb0-20cd-4b2d-a484-6134c86e9ffd,Gabriella Baumann- Von,Arx,Gabriella Baumann- von Arx,Gabriella Baumann- Von Arx,,,particle_embedded_in_name_field
0a45b347-fd12-46de-881b-6692145ec4bb,Arturo,Perez-Reverte,Perez-Reverte,Arturo Perez-Reverte,,,other
ad3818db-89c9-41f5-9309-bf2f919836d7,Funny Van,Money,Funny van Money,Funny Van Money,,,particle_embedded_in_name_field
244186f9-2cde-4fa0-b7ea-4a0352e95551,International Group Of,Controlling,International Group of Controlling,International Group Of Controlling,,,other
e3497546-adee-4750-8163-d49580c52305,Josef Schmitz Van,Vorst,Josef Schmitz van Vorst,Josef Schmitz Van Vorst,,,particle_embedded_in_name_field
1f1433bc-dd29-4d87-aaa8-57a0b5cd196f,Toshikazu,川口俊和,Toshikazu Kawaguchi,Toshikazu 川口俊和,,,other
b6c979c9-ef78-43cd-b0da-d1e3edb7341a,Hoimar,Ditfurth,Hoimar von Ditfurth,Hoimar Ditfurth,von,,namenszusatz_ok_case_diff
05e318de-b2e5-4395-a9a7-9aaabd2d7f87,Cornelia Von Schelling; Ann-Christine,Cornelia Von Schelling; Ann-Christine Woehrl,Cornelia Von Schelling; Ann-Christine Woehrl,Cornelia Von Schelling; Ann-Christine Cornelia Von Schelling; Ann-Christine Woehrl,,,other
3fd8dedd-32a4-4aef-a45f-d53d71946281,Beo,Unbekannt,Unbekannt,Beo Unbekannt,,,other
78c707a2-c712-4a3d-8839-a27bb048a2c5,Helmut,Müller,Helmut M. Müller,Helmut Müller,,,other
469097fa-d57f-4956-9138-86516b2cb6c2,Lonely,Planet,Simon Richmond,Lonely Planet,,,other
0692974d-9300-4074-bf47-ab30803cec10,Geza,Cziffra,von Cziffra,Geza Cziffra,von,,namenszusatz_drops_firstname
ce5f6b7b-dc2c-4d5b-8b2b-4a8ea56fa025,Kurt De,Swaaf,Kurt de Swaaf,Kurt De Swaaf,,,particle_embedded_in_name_field
f82af5bc-429f-43ca-9124-91a98e87afe0,Thassilo Von,Scheffer,Thassilo von Scheffer,Thassilo Von Scheffer,,,particle_embedded_in_name_field
b32ec316-1774-4614-a399-bf24c0b5edc7,Ildefonso Falcones De,Sierra,Ildefonso Falcones de Sierra,Ildefonso Falcones De Sierra,,,particle_embedded_in_name_field
d02ca51c-33ab-49c6-9710-12d6dc464b43,Marie,Ebner Eschenbach,von Ebner Eschenbach,Marie Ebner Eschenbach,von,,namenszusatz_drops_firstname
6a4525c4-64ed-4373-b5cf-9712d331fb5c,Luci,Yamamoto,Isabel Albiston,Luci Yamamoto,,,other
ecf51fd8-b46d-432e-9e29-0ef665b24eb9,Joe,Joe Miller,Joe Miller,Joe Joe Miller,,,other
b4963ca4-6c7d-4ee4-8d9e-cd1b8fa4aba7,Wolfgang,Wolfgang Kemmer,Wolfgang Kemmer,Wolfgang Wolfgang Kemmer,,,other
7c41429a-dd59-4b91-aa7c-4a2f6a08a07c,David Macneil,Doren,David MacNeil Doren,David Macneil Doren,,,other
71e6815f-6679-4465-9057-d3514ef6cc12,Magnus,Macfarlane-Barrow,Magnus MacFarlane-Barrow,Magnus Macfarlane-Barrow,,,other
8f98b8ef-f1ab-4c45-9201-73dc2aa877b5,Raǧāʾ ʿabdallāh Aṣ-,Ṣāniʿ,Raǧāʾ ʿAbdallāh aṣ- Ṣāniʿ,Raǧāʾ ʿabdallāh Aṣ- Ṣāniʿ,,,other
ac3372dd-2e55-4630-bad6-d65e638d6141,Dr. Med Bob,Flaws,Dr. med Bob Flaws,Dr. Med Bob Flaws,,,other
e5b48c0b-1ebd-4f77-a60e-b62c6235779e,Ildikó Von,Kürthy,Ildiko von Kürthy,Ildikó Von Kürthy,,,particle_embedded_in_name_field
3cb8a3f3-e83c-4c40-a3eb-419b16d04a04,Edith,Pargeter,Ellis Peters,Edith Pargeter,,,other
5c73a861-3047-423e-ac1c-895566b49140,Joseph,Eichendorff,von Eichendorff,Joseph Eichendorff,von,,namenszusatz_drops_firstname
50975c11-537f-417d-a3a9-5e9dabe4d497,Antje,Schaeffer-KüHnemann,Antje Schaeffer-Kühnemann,Antje Schaeffer-KüHnemann,,,other
9499c8ec-62b6-4f34-9df8-d29c8785a52d,Margriet De,Moor,Margriet de Moor,Margriet De Moor,,,particle_embedded_in_name_field
c01641cf-1c9b-4a87-a135-204af9d24127,Heinz,Sielmann,Sielmann,Heinz Sielmann,,,other
6d8f51f7-3e15-45d0-a902-61912cbfa083,Evan,Green,Green,Evan Green,,,other
0a0310d6-7774-4d83-83ab-fccd845d702b,Gabriele,Beyerlein,Gabriele Beyerlein.,Gabriele Beyerlein,,,other
6c287b62-9d43-4af6-9fb7-732cfdb29533,Nils,Minkmar,Minkmar,Nils Minkmar,,,other
d84a285c-1ea3-4dac-a0d0-bce391b8a6b1,Leopold,Sacher-Masoch,Leopold von Sacher-Masoch,Leopold Sacher-Masoch,von,,namenszusatz_ok_case_diff
db91bd1b-4061-41cb-86cd-ee2273f1816a,Stefan,König,Johann König,Stefan König,,,other
bb126a22-24ca-48ef-8e94-c8b312b1ea2c,Institut Européen D'Archéologie Sous-Marine,(Paris),Institut Européen d'Archéologie Sous-Marine (Paris),Institut Européen D'Archéologie Sous-Marine (Paris),,,other
13d3764e-366c-41e5-84b5-8053ec1c1b7d,Hugo,Hofmannsthal,Hugo von Hofmannsthal,Hugo Hofmannsthal,,,other
0ae60260-3fb0-4a19-ac1c-6e45b74a4ad7,Will,Berthold,Willi Berthold,Will Berthold,,,other
b61062fe-0914-47cb-8b40-3ab8810c8e31,Maya,Anouk,Maya Angelou,Maya Anouk,,,other
07442786-ea07-48ec-9610-0bc6e30539fd,Erich,Daeniken,von Daeniken,Erich Daeniken,von,,namenszusatz_drops_firstname
