first_name,last_name,name_display,duplicate_ids
Edward,Bulwer-Lytton,Edward Bulwer-Lytton,b7afcfed-f335-49ce-8905-3eb4785236f1;3e3ca14e-899f-4a1a-93fc-41185caf3dce
Tess,Gerritsen,Tess Gerritsen,94fd0f02-e66a-46f5-a8a3-6c4c43fc0940;c1d8c8ca-8055-4021-bc3e-bbaf0148e347
Sebastian,Fitzek,Sebastian Fitzek,40607a44-222c-4b08-83a1-b059848d8be7;7faec4c1-4c8f-465a-b591-7a3a688394be
Rüdiger,Nehberg,Rüdiger Nehberg,95e91111-e5ba-411a-824d-f8b786b5d17e;9646d3bd-68df-4dae-8780-723bb3c8fcbf
Noah,Gordon,Noah Gordon,47c82695-d899-4dda-ac24-0c83710e215d;a883be06-c5a5-43b7-afe2-76b0198556fe
Joseph,Eichendorff,von Eichendorff,e20e7923-0f01-4c58-83a1-a57c18024a14;5c73a861-3047-423e-ac1c-895566b49140
Friedrich,Dürrenmatt,Friedrich Dürrenmatt,2ff01246-530b-4806-87f9-4a43222ab591;80a9269f-ff0e-472d-b136-56ebf780f6d9
Hubert,Messner,Hubert Messner,efda43bf-6531-43f2-8de2-a3f62b234000;191016e2-293e-44f0-8448-6f64459cf72c
Patricia,Schultz,Patricia Schultz,574142e8-fbe3-473d-89b7-313fa46abf99;14b5a56a-f059-4ad5-8273-06681a902a3b
Dirk,Müller,Dirk Müller,967b83ae-eeaf-43c3-a6bf-ff3a0d62970b;a4751fa0-8523-41cf-9650-217cd252f8d4
Titus,Müller,Titus Müller,482fddc3-865f-4645-b366-c710525df108;1b3b52eb-4bf3-49cc-911a-ac594dc35af5
John Maddox,Roberts,John Maddox Roberts,04c6073e-4315-426f-bc2d-08ad896fac20;90b462f2-450f-4de4-b16f-ee9948a60c00
Max,Frisch,Max Frisch,fd70093e-98f0-47c3-bce9-d784a0e12ccb;27337f9a-9389-4cf1-9387-010ed477269f
Ray,Müller,Ray Müller,302c913c-da15-401b-a6f2-85e8706fb05f;4d0c988e-e918-4d79-9918-9629b918e585
John,Green,John Green,71934bdf-38c6-40d2-acd2-53e3789bade2;30e65378-241b-479a-b215-a5a92899efba
Ulrich,Wickert,Ulrich Wickert,b0fc2988-4225-44d0-8c58-dfaa422c21cc;541ae9ef-16f6-4e9b-9bc6-429b4c8fe795
Betty,Mahmoody,Mahtob Mahmoody,9f2f3f7e-c1c9-47f2-b937-b176c53d7e19;e4184bcb-9ebb-4d99-8e48-4e268e56d4c9
